R,"12","7077477400","",""
H,"12745148","04/24/20","TRACY631","PP","DELIVERY PREPAID","DAVICO MFG","95 Brook Street","DAVICO MFG","New Bedford","MA","02746","631","1-800-RADIATOR OF CINCINNATI(631)","8711 READING ROAD SUITE 1","CINCINNATI","OH","45215","","Radiator Express Inc","4401 Park Rd","Benicia","CA","94510","707.747.7400",23,3489.10,0.00,3489.10," please confirm receipt   fill rate tracymc@1800radiator.com -thank you ","","","","",""
D,"17165","450156DV","",1,"EA",148.460,148.46
D,"19531","450238DV","",1,"EA",159.370,159.37
D,"18156","450512DV","",1,"EA",125.440,125.44
D,"19463","450660DV","",1,"EA",146.780,146.78
D,"19314","450832DV","",1,"EA",199.580,199.58
D,"14478","450886DV","",1,"EA",165.350,165.35
D,"23219","450910DV","",1,"EA",88.550,88.55
D,"18124","450952DV","",1,"EA",176.120,176.12
D,"13141","451004DV","",1,"EA",89.350,89.35
D,"13071","451165DV","",1,"EA",97.210,97.21
D,"19062","451326DV","",1,"EA",227.570,227.57
D,"19305","451354DV","",1,"EA",148.540,148.54
D,"18265","451398DV","",2,"EA",170.520,341.04
D,"17392","451517DV","",1,"EA",125.990,125.99
D,"19527","451524DV","",1,"EA",269.920,269.92
D,"19501","451577DV","",1,"EA",145.980,145.98
D,"17304","451608DV","",2,"EA",91.140,182.28
D,"19566","451613DV","",1,"EA",126.400,126.40
D,"17351","452206DV","",1,"EA",182.880,182.88
D,"19612","452231DV","",1,"EA",134.940,134.94
D,"18539","452946DV","",1,"EA",207.350,207.35
